school_name,ncaa_id 2018,link,name_mascot,mascot
Texas Tech,113630,/team/700/12623,Texas Tech Red Raiders,Red Raiders
Toledo,113634,/team/709/12623,Toledo Rockets,Rockets
Troy,113635,/team/716/12623,Troy Trojans,Trojans
Tulane,113636,/team/718/12623,Tulane Green Wave,Green Wave
Tulsa,113637,/team/719/12623,Tulsa Golden Hurricane,Golden Hurricane
UAB,423340,/team/9/12623,UAB Blazers,Blazers
UCF,113543,/team/128/12623,UCF Knights,Knights
UCLA,113542,/team/110/12623,UCLA Bruins,Bruins
UConn,113550,/team/164/12623,"UConn Huskies, UConn",Huskies
UNLV,113592,/team/465/12623,UNLV Rebels,Rebels
UTEP,113632,/team/704/12623,UTEP Miners,Miners
UTSA,113633,/team/706/12623,UTSA Roadrunners,Roadrunners
Utah,113642,/team/732/12623,Utah Utes,Utes
Utah St.,113641,/team/731/12623,Utah St. Aggies,Aggies
Vanderbilt,113643,/team/736/12623,Vanderbilt Commodores,Commodores
Virginia,113645,/team/746/12623,Virginia Cavaliers,Cavaliers
Virginia Tech,113644,/team/742/12623,Virginia Tech Hokies,Hokies
Wake Forest,113646,/team/749/12623,Wake Forest Demon Deacons,Demon Deacons
Washington,113648,/team/756/12623,Washington Huskies,Huskies
Washington St.,113647,/team/754/12623,Washington St. Cougars,Cougars
West Virginia,113649,/team/768/12623,West Virginia Mountaineers,Mountaineers
Western Ky.,113650,/team/772/12623,Western Ky. Hilltoppers,Hilltoppers
Western Mich.,113651,/team/774/12623,Western Mich. Broncos,Broncos
Wisconsin,113652,/team/796/12623,Wisconsin Badgers,Badgers
Wyoming,113653,/team/811/12623,Wyoming Cowboys,Cowboys
