canonical (sportsref) name,canonical representation,espn name,rep,score,247 name,rep,score,rivals name,score
Iowa,Iowa HawkeyesHawkeyes,Iowa,Iowa HawkeyesHawkeyes,1.0,Iowa,Iowa HawkeyesHawkeyes,1.0,Iowa,1.0
Purdue,Purdue BoilermakersBoilermakers,Purdue,Purdue BoilermakersBoilermakers,1.0,Purdue,Purdue BoilermakersBoilermakers,1.0,Purdue,1.0
Nebraska,Nebraska CornhuskersCornhuskers,Nebraska,Nebraska CornhuskersCornhuskers,1.0,Nebraska,Nebraska CornhuskersCornhuskers,1.0,Nebraska,1.0
Minnesota,Minnesota Golden GophersGolden Gophers,Minnesota,Minnesota Golden GophersGolden Gophers,1.0,Minnesota,Minnesota Golden GophersGolden Gophers,1.0,Minnesota,1.0
Illinois,Illinois Fighting IlliniFighting Illini,Illinois,Illinois Fighting IlliniFighting Illini,1.0,Illinois,Illinois Fighting IlliniFighting Illini,1.0,Illinois,1.0
Florida Atlantic,Florida Atlantic OwlsOwls,FAU,Florida Atlantic OwlsOwls,1.0,Florida Atlantic,Florida Atlantic OwlsOwls,1.0,Florida Atlantic,1.0
Marshall,Marshall Thundering HerdThundering Herd,Marshall,Marshall Thundering HerdThundering Herd,1.0,Marshall,Marshall Thundering HerdThundering Herd,1.0,Marshall,1.0
Western Kentucky,Western Kentucky HilltoppersHilltoppers,W Kentucky,Western Kentucky HilltoppersHilltoppers,1.0,Western Kentucky,Western Kentucky HilltoppersHilltoppers,1.0,Western Kentucky,1.0
Charlotte,Charlotte 49ers49ers,Charlotte,Charlotte 49ers49ers,1.0,Charlotte,Charlotte 49ers49ers,1.0,Charlotte,1.0
North Texas,North Texas Mean GreenMean Green,North Texas,North Texas Mean GreenMean Green,1.0,North Texas,North Texas Mean GreenMean Green,1.0,North Texas,1.0
UAB,UAB BlazersBlazers,UAB,UAB BlazersBlazers,1.0,UAB,UAB BlazersBlazers,1.0,UAB,1.0
Louisiana Tech,Louisiana Tech BulldogsBulldogs,LA Tech,Louisiana Tech BulldogsBulldogs,1.0,Louisiana Tech,Louisiana Tech BulldogsBulldogs,1.0,Louisiana Tech,1.0
UTSA,UTSA RoadrunnersRoadrunners,UTSA,Utah San Antonio RoadrunnersRoadrunners,0.8397435897435898,UTSA,UTSA RoadrunnersRoadrunners,1.0,UTSA,1.0
Rice,Rice OwlsOwls,Rice,Rice OwlsOwls,1.0,Rice,Rice OwlsOwls,1.0,Rice,1.0
Army,Army Black KnightsBlack Knights,Army,Army Black KnightsBlack Knights,1.0,Army West Point,Army West Point Black KnightsBlack Knights,0.8296850998463902,Army,1.0
Notre Dame,Notre Dame Fighting IrishFighting Irish,Notre Dame,Notre Dame Fighting IrishFighting Irish,1.0,Notre Dame,Notre Dame Fighting IrishFighting Irish,1.0,Notre Dame,1.0
Kent State,Kent State Golden FlashesGolden Flashes,Kent State,Kent State Golden FlashesGolden Flashes,1.0,Kent State,Kent State Golden FlashesGolden Flashes,1.0,Kent State,1.0
Toledo,Toledo RocketsRockets,Toledo,Toledo RocketsRockets,1.0,Toledo,Toledo RocketsRockets,1.0,Toledo,1.0
Central Michigan,Central Michigan ChippewasChippewas,Cent Michigan,Central Michigan ChippewasChippewas,1.0,Central Michigan,Central Michigan ChippewasChippewas,1.0,Central Michigan,1.0
Western Michigan,Western Michigan BroncosBroncos,W Michigan,Western Michigan BroncosBroncos,1.0,Western Michigan,Western Michigan BroncosBroncos,1.0,Western Michigan,1.0
Boise State,Boise State BroncosBroncos,Boise State,Boise State BroncosBroncos,1.0,Boise State,Boise State BroncosBroncos,1.0,Boise State,1.0
Wyoming,Wyoming CowboysCowboys,Wyoming,Wyoming CowboysCowboys,1.0,Wyoming,Wyoming CowboysCowboys,1.0,Wyoming,1.0
Colorado State,Colorado State RamsRams,Colorado State,Colorado State RamsRams,1.0,Colorado State,Colorado State RamsRams,1.0,Colorado State,1.0
New Mexico,New Mexico LobosLobos,New Mexico,New Mexico LobosLobos,1.0,New Mexico,New Mexico LobosLobos,1.0,New Mexico,1.0
Fresno State,Fresno State BulldogsBulldogs,Fresno State,Fresno State BulldogsBulldogs,1.0,Fresno State,Fresno State BulldogsBulldogs,1.0,Fresno State,1.0
Nevada,Nevada Wolf PackWolf Pack,Nevada,Nevada Wolf PackWolf Pack,1.0,Nevada,Nevada Wolf PackWolf Pack,1.0,Nevada,1.0
Washington,Washington HuskiesHuskies,Washington,Washington HuskiesHuskies,1.0,Washington,Washington HuskiesHuskies,1.0,Washington,1.0
Stanford,Stanford CardinalCardinal,Stanford,Stanford CardinalCardinal,1.0,Stanford,Stanford CardinalCardinal,1.0,Stanford,1.0
Washington State,Washington State CougarsCougars,Washington St,Washington State CougarsCougars,1.0,Washington State,Washington State CougarsCougars,1.0,Washington State,1.0
Oregon,Oregon DucksDucks,Oregon,Oregon DucksDucks,1.0,Oregon,Oregon DucksDucks,1.0,Oregon,1.0
California,California Golden BearsGolden Bears,Cal,California Golden BearsBears,0.9410714285714286,California,California Golden BearsGolden Bears,1.0,California,1.0
