school_name,ESPN_id,link,link_name,name_mascot,mascot
Washington St,265,/id/265/washington-state-cougars,washington-state-cougars,Washington State Cougars,Cougars
Alabama,333,/id/333/alabama-crimson-tide,alabama-crimson-tide,Alabama Crimson Tide,Crimson Tide
Arkansas,8,/id/8/arkansas-razorbacks,arkansas-razorbacks,Arkansas Razorbacks,Razorbacks
Auburn,2,/id/2/auburn-tigers,auburn-tigers,Auburn Tigers,Tigers
Florida,57,/id/57/florida-gators,florida-gators,Florida Gators,Gators
Georgia,61,/id/61/georgia-bulldogs,georgia-bulldogs,Georgia Bulldogs,Bulldogs
Kentucky,96,/id/96/kentucky-wildcats,kentucky-wildcats,Kentucky Wildcats,Wildcats
LSU,99,/id/99/lsu-tigers,lsu-tigers,LSU Tigers,Tigers
Miss St,344,/id/344/mississippi-state-bulldogs,mississippi-state-bulldogs,Mississippi State Bulldogs,Bulldogs
Missouri,142,/id/142/missouri-tigers,missouri-tigers,Missouri Tigers,Tigers
Ole Miss,145,/id/145/ole-miss-rebels,ole-miss-rebels,Ole Miss Rebels,Rebels
South Carolina,2579,/id/2579/south-carolina-gamecocks,south-carolina-gamecocks,South Carolina Gamecocks,Gamecocks
Tennessee,2633,/id/2633/tennessee-volunteers,tennessee-volunteers,Tennessee Volunteers,Volunteers
Texas A&M,245,/id/245/texas-a%26m-aggies,texas-a%26m-aggies,Texas A&M Aggies,Aggies
Vanderbilt,238,/id/238/vanderbilt-commodores,vanderbilt-commodores,Vanderbilt Commodores,Commodores
Appalachian St,2026,/id/2026/appalachian-state-mountaineers,appalachian-state-mountaineers,Appalachian State Mountaineers,Mountaineers
Arkansas State,2032,/id/2032/arkansas-state-red-wolves,arkansas-state-red-wolves,Arkansas State Red Wolves,Red Wolves
C. Carolina,324,/id/324/coastal-carolina-chanticleers,coastal-carolina-chanticleers,Coastal Carolina Chanticleers,Chanticleers
Ga Southern,290,/id/290/georgia-southern-eagles,georgia-southern-eagles,Georgia Southern Eagles,Eagles
Georgia State,2247,/id/2247/georgia-state-panthers,georgia-state-panthers,Georgia State Panthers,Panthers
Louisiana,309,/id/309/louisiana-ragin'-cajuns,louisiana-ragin'-cajuns,Louisiana Ragin' Cajuns,Ragin' Cajuns
South Alabama,6,/id/6/south-alabama-jaguars,south-alabama-jaguars,South Alabama Jaguars,Jaguars
Texas State,326,/id/326/texas-state-bobcats,texas-state-bobcats,Texas State Bobcats,Bobcats
Troy,2653,/id/2653/troy-trojans,troy-trojans,Troy Trojans,Trojans
UL Monroe,2433,/id/2433/ul-monroe-warhawks,ul-monroe-warhawks,UL Monroe Warhawks,Warhawks
